name,company,salary_min,salary_max,link,site
Финансовый контролер,Сбербанк России,0,0,https://superjob.ru/vakansii/finansovyj-kontroler-32720184.html,SuperJob
Web-разработчик React,КРИТ,0,0,https://superjob.ru/vakansii/web-razrabotchik-react-32675674.html,SuperJob
Стажер Sberseasons Data Science (осень),Сбербанк России,0,0,https://superjob.ru/vakansii/stazher-sberseasons-data-science-32494505.html,SuperJob
Data-инженер,Сбербанк России,0,0,https://superjob.ru/vakansii/data-inzhener-32604242.html,SuperJob
Разработчик C++,"Аптечная Сеть ""Советские Аптеки""",150000,0,https://superjob.ru/vakansii/razrabotchik-c-32231876.html,SuperJob
Системный администратор Linux,О'КЕЙ,0,0,https://superjob.ru/vakansii/sistemnyj-administrator-linux-28400989.html,SuperJob
Системный администратор Zabbix,ПРОГ МАСТЕР,50000,85000,https://superjob.ru/vakansii/sistemnyj-administrator-zabbix-32756464.html,SuperJob
Старший инженер по тестированию,"Банк ""Ренессанс Кредит""",0,0,https://superjob.ru/vakansii/starshij-inzhener-po-testirovaniyu-32316735.html,SuperJob
Программист C++,СТОЛИЧКИ,0,0,https://superjob.ru/vakansii/programmist-c-32770081.html,SuperJob
"Web-программист, Web-разработчик",АСТ,150000,200000,https://superjob.ru/vakansii/web-programmist-32672311.html,SuperJob
Аналитик data governance,Сбербанк России,0,0,https://superjob.ru/vakansii/analitik-data-governance-32482998.html,SuperJob
Reverse Engineer,АСТ,170000,0,https://superjob.ru/vakansii/reverse-engineer-32672261.html,SuperJob
Тестировщик программного обеспечения,Правительство Москвы,0,0,https://superjob.ru/vakansii/testirovschik-programmnogo-obespecheniya-32202847.html,SuperJob
Ведущий программист С++ проекты с сфере IoT,Мособлгаз,0,0,https://superjob.ru/vakansii/veduschij-programmist-s-32370921.html,SuperJob
Разработчик C++,АСТ,170000,0,https://superjob.ru/vakansii/razrabotchik-c-32672111.html,SuperJob
Системный архитектор / Главный конструктор (разработка решений Industrial IoT),Компания КОМПЛИТ,0,0,https://superjob.ru/vakansii/sistemnyj-arhitektor-32769133.html,SuperJob
Инженер по внедрению,Промторг,120000,0,https://superjob.ru/vakansii/inzhener-po-vnedreniyu-32702867.html,SuperJob
Инженер администрирования сети,Мой Зубной,70000,0,https://superjob.ru/vakansii/inzhener-administrirovaniya-seti-32096254.html,SuperJob
Team lead / Ведущий разработчик,АСТ,150000,300000,https://superjob.ru/vakansii/team-lead-32671632.html,SuperJob
Программист PHP (релокация на о. Бали),Business connection,100000,250000,https://superjob.ru/vakansii/programmist-php-32517185.html,SuperJob
